English,Vietnamese
,"Rò miệng nối 2%; nhiễm trùng vết mổ 7,8%."
,"Thời gian theo dõi sau mổ trung bình là 17,5 tháng."
,"Số lần đại tiện trung bình 1 năm sau mổ là 2,1 lần."
,"Thời gian sống thêm toàn bộ và không bệnh lần lượt là 27,2 và 27,6 tháng."
,"Phẫu thuật cắt đoạn đại tràng sigma, nạo vét hạch di căn và nối đại trực tràng bằng stapler đã được thực hiện nhiều năm tại Bệnh viện Đa khoa tỉnh Thái Bình cho kết quả tốt."
,Không có yếu tố nào liên quan đến thời gian sống thêm sau mổ.
,"Kết luận: Phẫu thuật cắt đoạn đại tràng sigma và nối đại trực tràng bằng stapler điều trị ung thư trực tràng cao tại Bệnh viện Đa khoa tỉnh Thái Bình là một phương pháp an toàn, cho kết quả tốt."
,Nghiên cứu nhằm đánh giá kết quả của phẫu thuật này.
,Đối tượng và phương pháp nghiên cứu: 51 bệnh nhân ung thư trực tràng cao được phẫu thuật cắt đại tràng sigma và nối đại trực tràng bằng stapler tại Bệnh viện Đa khoa tỉnh Thái Bình từ tháng 1/2019 đến tháng 12/2020.
,"Ghi nhận các số liệu về tuổi, giới, đặc điểm khối u, giai đoạn bệnh; phương pháp phẫu thuật, thời gian phẫu thuật, biến chứng và biến chứng của phẫu thuật; số lần đại tiện sau mổ."
,"Tỷ lệ sống, tỷ lệ tái phát, thời gian sống thêm sau mổ."
,Kết quả: 51 bệnh nhân ung thư trực tràng cao được phẫu thuật cắt đại tràng sigma và nối đại trực tràng bằng stapler.
,"Tuổi trung bình là 63,9 tuổi."
,Nghiên cứu đặc điểm lâm sàng và hình ảnh nội soi viêm tai giữa cấp ở trẻ em tại Bệnh viện E từ năm 2019  2020
,Nghiên cứu này nhằm so sánh kiến thức và thực hành của nam và nữ đối với việc rửa tay và đeo khẩu trang trong đại dịch COVID-19 tại bệnh viện Thống Nhất. Đối tượng và phương pháp nghiên cứu: Chúng tôi tiến hành nghiên cứu cắt ngang trên những bệnh nhân đến khám ngoại trú tại bệnh viện Thống Nhất từ tháng 5/2020 đến tháng 7/2020.
,Các nhà nghiên cứu phỏng vấn trực tiếp bệnh nhân bằng bộ câu hỏi soạn sẵn.
,"Kết quả: Tổng cộng có 1.555 bệnh nhân được đưa vào nghiên cứu với 804 nam (51,7%) và 751 nữ (48,3%)."
,"Có sự khác biệt có ý nghĩa thống kê giữa nam và nữ về tuổi, trình độ học vấn và tình trạng làm việc (p  0,001)."
,"Hơn 80% người bệnh ở cả 2 nhóm thường xuyên rửa tay bằng xà phòng hoặc xà phòng, 83,2% ở nam và 85,4% ở nữ (p  0,230)."
,"Gần như tất cả bệnh nhân ở cả hai nhóm đều đeo khẩu trang khi ra viện trong tháng qua (98,9% với 98,1%, p  0,224)."
,Kết luận: Kết quả cho thấy không có sự khác biệt về kiến thức và thực hành rửa tay và đeo khẩu trang trong đại dịch COVID-19.
,Tác dụng phụ của methotrexate trong điều trị tân sinh nguyên bào nuôi
,Viêm tai giữa cấp (AOM) là tình trạng nhiễm trùng và tích tụ dịch trong tai giữa.
,"Bệnh thường khởi phát đột ngột và trong thời gian ngắn, với các triệu chứng lâm sàng liên quan đến hình ảnh nội soi."
,Mục tiêu: Mô tả đặc điểm lâm sàng viêm tai giữa cấp ở trẻ em tại Bệnh viện E từ năm 2019  2020.
,"Đối tượng và phương pháp nghiên cứu: Nghiên cứu mô tả cắt ngang, gồm 40 bệnh nhân dưới 16 tuổi, được chẩn đoán AOM, điều trị tại khoa Tai Mũi Họng bệnh viện E từ tháng 9/2019 đến tháng 4/2020."
,"Kết quả và bàn luận: Sốt nhẹ: 37,5%, sốt vừa: 20%, sốt cao: 22,5%; Đau tai nhẹ chiếm 40%, đau tai nặng 25%; Không chảy dịch tai 77,5%, chảy dịch tai chiếm 22,5%; Tràn dịch màng nhĩ ứ mủ chiếm 35%, tràn mủ màng nhĩ 42,5%, thủng màng nhĩ 42,5%."
,"Kết luận: Kết hợp các triệu chứng lâm sàng và hình ảnh nội soi để chẩn đoán chính xác và chẩn đoán giai đoạn viêm tai giữa cấp, từ đó đưa ra hướng dẫn điều trị cụ thể và phù hợp."
,Trạng thái động kinh kháng trị mới khởi phát: Báo cáo ca lâm sàng và tổng quan y văn
,"Trong số 47 trường hợp tăng men gan, 16 trường hợp xuất hiện sau 1 chu kỳ điều trị, 14 trường hợp xuất hiện sau 2 chu kỳ và 9 trường hợp xuất hiện sau 3 chu kỳ và sau 4, 5 và 6 chu kỳ, chỉ có 4, 2, 1 trường hợp tăng men gan."
,Không có trường hợp nào sau chu kỳ điều trị 100% và 100%.
,"Ở bệnh nhân AST trước điều trị > 25 UI / L, nguy cơ tăng men gan cao gấp 2,29 lần so với bệnh nhân AST trước điều trị  25 UI / L."
,"Dựa trên mô hình hồi quy Cox, chúng tôi xây dựng được biểu đồ gồm 4 biến số: tuổi, BMI, AST trước điều trị và ALT trước điều trị."
,"Các tác dụng không mong muốn khác bao gồm loét miệng, tiêu chảy, nôn, rụng tóc, xảy ra với tỷ lệ lần lượt là 18,4%, 14,7%, 10,4% và 4,9%."
,Hầu hết các phản ứng này là nhẹ và không cần điều trị đặc hiệu.
,"Kết luận: Tỷ lệ tăng men gan chung là 28,83%, thường xảy ra trong vòng 3 đến 4 chu kỳ điều trị đầu tiên."
,AST trước điều trị có liên quan đến tăng men gan.
,"Ước tính có thể xác định nguy cơ tăng men gan ở bệnh nhân có bệnh nguyên bào nuôi có nguy cơ thấp, điều trị bằng methotrexate và axit folinic."
,Mục tiêu: Xác định tỷ lệ và các yếu tố liên quan đến tăng men gan ở bệnh nhân bệnh nguyên bào nuôi nguy cơ thấp điều trị methotrexate.
,"Chúng tôi chọn toàn bộ 163 trường hợp bệnh nguyên bào nuôi có nguy cơ thấp, điều trị bằng methotrexate và axit folinic, từ tháng 10/2019 đến tháng 6/2020 tại bệnh viện Từ Dũ."
,Phân tích sống còn Kaplan-Meier được thực hiện để xác định tỷ lệ tăng men gan theo thời gian.
,Chúng tôi áp dụng mô hình hồi quy Cox để xác định các yếu tố liên quan đến tăng men gan và xây dựng biểu đồ dự đoán nguy cơ tăng men gan.
,"Kết quả: Tỷ lệ tăng men gan là 28,83%."
,Đặc điểm lâm sàng trầm cảm ở bệnh nhân viêm khớp dạng thấp và một số yếu tố liên quan ở bệnh nhân viêm khớp dạng thấp tại khoa cơ xương khớp  Bệnh viện Bạch Mai
,"Báo cáo kết quả điều trị thành công một trường hợp động kinh kháng trị mới khởi phát tại Khoa Thần kinh, Bệnh viện Trung ương Quân đội 108 và hồi cứu y văn về tình trạng bệnh lý hiếm gặp này."
,"Đối tượng và phương pháp: Báo cáo ca bệnh, tổng quan tài liệu."
,Kết quả: Kết quả tốt tại thời điểm 2 tháng dựa trên sự kết hợp giữa kinh nghiệm và bằng chứng.
,"Kết luận: Trạng thái động kinh kháng trị mới khởi phát là một tình trạng bệnh lý hiếm gặp, tiên lượng xấu, có nguy cơ biến đổi cao trong trạng thái động kinh kháng trị, tỷ lệ tử vong và biến chứng cao."
,Liệu pháp điều hoà miễn dịch được xem xét trong điều trị tình trạng này.
,Kết quả điều trị gãy đầu dưới xương đùi bằng nẹp vít khoá ở người lớn tại Bệnh viện Trung ương Thái Nguyên
,"Rối loạn trầm cảm là một bệnh lý kèm theo thường gặp trong bệnh viêm khớp dạng thấp (VKDT), điều này sẽ làm cho các triệu chứng VKDT trở nên tồi tệ hơn, các biến chứng tăng lên, tỷ lệ tử vong và tự tử tăng lên, là gánh nặng nặng nề cho bệnh nhân, gia đình và xã hội."
,Đã có nhiều nghiên cứu về rối loạn trầm cảm ở bệnh nhân viêm khớp dạng thấp trên thế giới nhưng vẫn chưa có báo cáo ở Việt Nam.
,"Do đó, chúng tôi thực hiện đề tài Chẩn đoán trầm cảm và một số yếu tố liên quan ở bệnh nhân viêm khớp dạng thấp tại khoa Nội cơ xương khớp  Bệnh viện Bạch Mai ."
,Đối tượng và phương pháp nghiên cứu: Nghiên cứu mô tả cắt ngang 79 bệnh nhân viêm khớp dạng thấp điều trị nội trú tại Khoa Cơ Xương Khớp Bệnh viện Bạch Mai từ tháng 6/2019 đến tháng 6/2020.
,"Kết quả: Đối tượng nghiên cứu chủ yếu là nữ giới (83,5%), tuổi trung bình là 60,9  9,3, ở thành thị tương đương với nông thôn, 40,5% là học vấn trung học cơ sở."
,"Có 51,9% bệnh nhân trầm cảm theo thang điểm Hamilton Depression Scale (HAM  D)."
,"Có sự khác biệt có ý nghĩa thống kê về số khớp đau và sưng tấy, chỉ số CRP, chỉ số hoạt động bệnh ở 28 khớp sau CRP (DAS 28 - CRP) ở bệnh nhân trầm cảm và bệnh nhân không trầm cảm."
,"Những bệnh nhân không thể lao động, làm các hoạt động sinh hoạt hàng ngày hoặc làm tiền có tỷ lệ trầm cảm cao hơn những người còn lại vẫn còn khả năng lao động và các hoạt động sinh hoạt hàng ngày với p  0,05."
,Kết quả bước đầu phẫu thuật đĩa đệm cột sống cổ trước sử dụng hệ thống interlock
,"Gãy đầu dưới xương đùi là một loại gãy xương lớn, phức tạp, thường ảnh hưởng đến chức năng vận động của khớp gối."
,"Kết quả phục hồi chức năng theo Sanders. R: tốt: 63,8%, khá: 18,5%, trung bình: 12,1% và kém: 3,0%."
,"Kết luận: Kết quả điều trị gãy đầu dưới xương đùi bằng nẹp khoá là rất khả quan, trong đó có bệnh nhân cao tuổi có loãng xương, hiện nay là lựa chọn điều trị tối ưu cho loại gãy này."
,"Nẹp khoá đầu dưới xương đùi giúp cố định vững chắc gãy xương, phục hồi chức năng sớm."
,Mục tiêu: Đánh giá kết quả điều trị gãy đầu dưới xương đùi bằng nẹp khoá ở người lớn.
,Đối tượng và phương pháp nghiên cứu: Mô tả cắt ngang.
,"Từ tháng 01/2018 đến tháng 06/2021, 33 bệnh nhân, từ 18 tuổi trở lên bị gãy đầu dưới xương đùi được điều trị bằng nẹp khoá và theo dõi ít nhất 6 tháng."
,"Kết quả: Có 12 (36,4%) nam và 21 (63,6%) nữ."
,Tỷ lệ liền xương là 100%.
,"Kết quả nắn chỉnh gãy trên X-quang theo Larson  Bostman: Tốt: 97,0%, khá: 3,0%."
,"Biên độ vận động khớp gối: 54,5% đạt gấp gối hoàn toàn  1250, 24,2% từ 1000-1240, 15,2% từ 900-990,6% gấp gối  900."
,Thực trạng tuân thủ điều trị arv của bệnh nhân HIV/AIDS tại phòng khám ngoại trú Bệnh viện Đa khoa tỉnh Nam Định năm 2016
,Xác định thực trạng tuân thủ điều trị ARV của bệnh nhân HIV / AIDS và tìm hiểu một số yếu tố ảnh hưởng đến tuân thủ điều trị ARV.
,"Kết quả: Trong số 256 người tham gia nghiên cứu, 47,7% là nữ, 52,3% là nam, 57,8% là ở ngoại thành."
,"Tỷ lệ tuân thủ điều trị chung là 79,7% và tuân thủ điều trị chung là 20,3%."
,Nghiên cứu kết quả điều trị trứng cá thông thường bằng isotretinoin và vitamin D đường uống
,Phẫu thuật cắt đĩa đệm và hàn xương (ACDF) được chỉ định rộng rãi cho thoát vị đĩa đệm cột sống cổ do thoái hoá hoặc đa tầng.
,"Đánh giá trước và sau mổ về góc cổ tử cung, thời gian phẫu thuật, lượng máu mất cũng như các biến chứng cũng được đánh giá."
,"Tất cả bệnh nhân đều cải thiện tốt tình trạng chèn ép rễ thần kinh và đau cổ, cải thiện NDI và cải thiện độ ưỡn."
,Thời gian phẫu thuật và lượng máu mất được giảm thiểu.
,Không có rối loạn nuốt hay biến chứng chung.
,"Phẫu thuật ACDF sử dụng khoá kéo cho kết quả tốt, duy trì được chiều dài cổ tử cung, thời gian phẫu thuật, lượng máu mất và hiện tại không ghi nhận biến chứng sau mổ bao gồm khó nuốt."
,"Tuy nhiên, chúng cũng gặp phải các biến chứng như tổn thương mô mềm gây phù nề thực quản, khó nuốt, đặc biệt là trong phẫu thuật đa tầng."
,"Phẫu thuật ghép đĩa đệm liên mấu chuyển được thực hiện để đảm bảo tỷ lệ hàn xương tối đa, ít biến chứng, khó nuốt và thời gian phẫu thuật."
,"Đến cuối năm 2019, hệ thống này đã được FDA chấp thuận trong phẫu thuật đa tầng cột sống cổ."
,"Tại khoa A, Bệnh viện Đại học Y Hà Nội, chúng tôi đã áp dụng và thu được kết quả bước đầu thuận lợi."
,Đây là một nghiên cứu tiền cứu mô tả cắt ngang trên 10 bệnh nhân thoát vị đĩa đệm cột sống cổ do thoái hoá.
,"Bệnh nhân được đánh giá các triệu chứng lâm sàng trước và sau mổ theo phác đồ, thang điểm đau VAS (Visual Analogue Scale), thang điểm đau NDI (Neck Disability Index) và thang điểm khó nuốt."
,Kết quả phẫu thuật thay van động mạch chủ ít xâm lấn mở ngực phải tại Bệnh viện Tim Hà Nội
,Đánh giá kết quả điều trị trứng cá thông thường bằng isotretinoin và vitamin D (Vit D) đường uống.
,"Đối tượng và phương pháp: Thử nghiệm lâm sàng có đối chứng, so sánh hiệu quả điều trị của 70 bệnh nhân trứng cá thông thường mức độ trung bình và nặng."
,"Bệnh nhân được chia ngẫu nhiên thành 2 nhóm, mỗi nhóm 35 bệnh nhân, nhóm nghiên cứu sử dụng Isotretinoin 20 mg / ngày và Vit D 1000 UI / ngày, nhóm chứng chỉ sử dụng Isotretinoin 20 mg / ngày trong 3 tháng điều trị."
,Kết quả: Cả nhóm nghiên cứu và nhóm chứng có sự khác biệt có ý nghĩa thống kê về mức độ nặng của bệnh trứng cá thông thường và điểm số GAGS tại thời điểm 1 - 2 - 3 tháng sau điều trị so với trước điều trị.
,"Sau 3 tháng, cả hai nhóm nghiên cứu và nhóm chứng đều cho kết quả rất tốt, tốt và khá ở hơn 90% bệnh nhân."
,"Không có sự khác biệt có ý nghĩa thống kê về điểm GAGS, mức độ bệnh, mức độ cải thiện bệnh cũng như tác dụng phụ trên lâm sàng sau 1-2-3 tháng điều trị giữa 2 nhóm."
,"Kết luận: Trong điều trị trứng cá thông thường mức độ trung bình và nặng, uống Isotretinoin kết hợp Vit D cho thấy không có sự khác biệt về kết quả điều trị và tác dụng phụ so với sử dụng isotretinoin đơn thuần."
,ĐÁNH GIÁ MỘT SỐ ĐẶC ĐIỂM LÂM SÀNG VÀ MỘT SỐ YẾU TỐ LIÊN QUAN TÓM TẮT Nghiên cứu mô tả cắt ngang trên bệnh nhân nhiễm HIV/AIDS tại tỉnh Sóc Trăng năm 2020-2021
,"Không có trường hợp nào tử vong sớm, 2 trường hợp phải mổ lại do chảy máu nhiều."
,"91,3% bệnh nhân có NYHA I, 1 bệnh nhân tử vong do xuất huyết não."
,"Kết luận: Với một số cải tiến kỹ thuật, phẫu thuật thay van động mạch chủ ít xâm lấn qua đường mở ngực phải cho kết quả sớm và trung hạn tốt tại trung tâm của chúng tôi."
,"Các dữ liệu trước mổ, chu phẫu, kết quả sớm và theo dõi được thu thập và phân tích."
,Kết quả: Có 48 bệnh nhân trong nghiên cứu.
,"Tuổi trung bình là 60,94  11,53 (25-82), nam giới chiếm 52,1%."
,"29,2% bệnh nhân có bệnh mạch máu ngoại biên."
,Thực trạng tăng huyết áp và các yếu tố liên quan ở người cao tuổi tại Quảng Bình
,Trẻ nhiễm HIV / AIDS là nạn nhân nặng nhất của đại dịch và làm tăng tỷ lệ nhiễm trùng và suy dinh dưỡng ở trẻ em.
,"Tỷ lệ trẻ suy dinh dưỡng là 83,5%."
,"Trẻ nhiễm HIV / AIDS ở các giai đoạn lâm sàng I, II, III và IV lần lượt là 18,1%; 26%; 39,4% và 16,5%."
,"Tỷ lệ tuân thủ điều trị HIV / AIDS ở trẻ em là 76,4%."
,"Kết luận: Tỷ lệ trẻ em đang điều trị HIV / AIDS tại tỉnh Sóc Trăng khá cao từ dân tộc thiểu số, khó khăn về kinh tế và tỷ lệ suy dinh dưỡng cao."
,"Tỷ lệ tuân thủ điều trị HIV / AIDS ở trẻ em còn chưa cao, cần tăng cường hỗ trợ cho gia đình trẻ đang điều trị HIV / AIDS, trong đó, hướng dẫn tuân thủ có vai trò quan trọng."
,"Mục tiêu: (1) Mô tả một số đặc điểm dịch tễ, lâm sàng và cận lâm sàng của trẻ nhiễm HIV / AIDS. (2) Xác định tỷ lệ tuân thủ điều trị HIV / AIDS ở trẻ nhiễm HIV / AIDS."
,"Đối tượng và phương pháp nghiên cứu: Nghiên cứu mô tả cắt ngang được thực hiện trên 127 trẻ em từ 15 tuổi trở lên nhiễm HIV / AIDS đến khám và điều trị từ tháng 5/2020 đến tháng 3/2021 tại Phòng khám, Bệnh viện Sản Nhi Sóc Trăng và người chăm sóc trẻ."
,"Kết quả: Có 57,5% trẻ được điều trị HIV / AIDS chủ yếu từ 10 đến dưới 15 tuổi."
,"Tỷ lệ trẻ nhiễm HIV / AIDS ở nam và nữ lần lượt là 55,9% và 44,1%."
,"Về dân tộc, có 70,9% trẻ dân tộc Kinh, 28,3% trẻ dân tộc Khmer."
,"Về nơi ở và kinh tế gia đình, có 82,7% trẻ sống ở nông thôn; 80,3% trẻ có gia đình kinh tế nghèo."
,"Hỗ trợ chăm sóc trẻ chủ yếu là cha và mẹ (73,2%)."
,Luật pháp bảo hiểm thương mại đối với ngành gỗ Việt Nam trong bối cảnh hội nhập kinh tế quốc tế quốc tế
,Mô tả thực trạng tăng huyết áp và các yếu tố liên quan ở người cao tuổi tỉnh Quảng Bình.
,Nghiên cứu mô tả cắt ngang được tiến hành trên 815 người cao tuổi tại 4 xã thuộc tỉnh Quảng Bình.
,"Kết quả: Tỷ lệ tăng huyết áp là 52%, 65,3% người bệnh nhận thức được tình trạng tăng huyết áp và 42,4% chưa được điều trị."
,"Người cao tuổi Quảng Bình có tỷ lệ mắc tăng huyết áp cao, với hơn một phần ba số người không biết về tình trạng của họ, và gần 60% chưa được điều trị."
,"Tuổi, BMI, béo bụng và tiền sử bệnh tim mạch là những yếu tố liên quan đến tăng huyết áp ở người cao tuổi."
,Kết quả phẫu thuật điều trị u tuyến ức tại Bệnh viện Hữu nghị Việt Đức
,"Việt Nam hiện đang phải đối mặt với nhiều tổ chức quốc tế, sự hội nhập kinh tế quốc tế quốc tế của nước ta giúp mở rộng kinh doanh và xuất khẩu ra thị trường mới."
,"Tuy nhiên, việc hội nhập cũng đặt ra nhiều thách thức đối với các doanh nghiệp Việt Nam, trong đó có sự gia tăng số lượng luật pháp bảo hiểm thương mại đối với thương mại Việt Nam nói chung và ngành gỗ nói riêng."
,"Vì vậy, việc chuẩn bị tốt và nâng cao kiến thức về phòng chống dịch bệnh là rất quan trọng để có đáp ứng thích hợp."
,"Bài báo trình bày thực trạng ngành gỗ Việt Nam, đề xuất một số giải pháp nhằm nâng cao năng lực cạnh tranh của ngành và giải quyết các vụ kiện phòng chống buôn lậu."
,Nghiên cứu đặc điểm lâm sàng trầm cảm sau sinh
,Nghiên cứu 53 bệnh nhân được phẫu thuật cắt u tuyến ức tại Bệnh viện Hữu nghị Việt Đức từ tháng 5/2016 đến tháng 4/2020.
,Đánh giá nhanh tình trạng quản lý chất thải rắn rắn tại các cơ sở cách ly trong bối cảnh dịch Covid-19 tại Việt Nam
,Nghiên cứu đặc điểm lâm sàng của trầm cảm sau sinh.
,"Phương pháp: Phân tích đặc điểm lâm sàng ở 31 bệnh nhân trầm cảm sau sinh điều trị tại Khoa Tâm thần, Bệnh viện Quân y 103."
,"Kết quả nghiên cứu: Thời gian mắc bệnh dưới 3 tuần gặp nhiều trường hợp (54,84%); triệu chứng giảm khí sắc, mất hứng thú và hứng thú, mất ngủ chiếm 100%."
,Kết luận: Các đặc điểm lâm sàng của trầm cảm sau sinh rất đa dạng và phong phú và xét nghiệm Beck là một phương pháp được sử dụng để đánh giá mức độ trầm cảm của bệnh nhân.
,Kết quả điều trị phẫu thuật u giả nhú ở thân và đuôi tuỵ tại Bệnh viện Việt Đức
,"Mục tiêu của nghiên cứu là đánh giá thực trạng quản lý chất thải y tế (TTYT), tác động tiềm ẩn của việc tạo chất thải y tế, sử dụng PPE, đưa ra các khuyến nghị nhằm nâng cao công tác quản lý chất thải y tế (TTYT) tại các cơ sở cách ly."
,"Do đó, các cơ sở cách ly cần được trang bị hệ thống bảo quản và lưu trữ chất thải lây nhiễm phù hợp với yêu cầu của hệ thống lưu thông và giảm số lượng."
,Đồng thời cần theo dõi chặt chẽ việc phân loại và thu gom chất thải.
,"Phương pháp nghiên cứu là đánh giá nhanh, kết hợp nghiên cứu tài liệu, nghiên cứu định lượng và nghiên cứu định tính, bao gồm phỏng vấn sâu và chụp ảnh."
,"Địa điểm nghiên cứu và đối tượng nghiên cứu được thực hiện tại 07 tỉnh / thành phố khu vực miền Bắc, Trung và Nam, trong đó có 11 cơ sở cách ly."
,"Kết quả nghiên cứu cho thấy: 100% các đơn vị cách ly có cán bộ, uỷ ban về công tác quản lý chất thải, cán bộ được đào tạo về quản lý chất thải."
,Thực hành về sức khoẻ nghề nghiệp và an toàn vệ sinh lao động dao động từ 0-75%.
,100% đơn vị thực hiện phân nhóm và phân loại chất thải y tế tại nguồn.
,Tổng lượng chất thải hàng ngày tại các đơn vị cách ly trong đợt dịch tăng hơn trước đợt dịch.
,"100% cơ sở có khu vực lưu giữ chất thải riêng, với tần suất vận chuyển từ 0,2 đến 1 lần / ngày."
,"Tỷ lệ sử dụng mã màu và nhãn mác phù hợp với quy định dao động từ 25% đến 85,7%."
,Tác dụng giảm cân và hạ lipid máu của hỗn hợp cao chiết từ lá chùm ngây và giảo cổ lam trên mô hình chuột béo phì
,Kết quả điều trị phẫu thuật u giả nhú ở thân và đuôi tuỵ tại Bệnh viện Việt Đức.
,"62,5% bệnh nhân có kết quả HMMD để xác định tổn thương HMMD."
,Kết luận: U tuỵ ngoại tiết ác tính được phân loại là u tuỵ ngoại tiết khi có mức độ loạn sản cao.
,Phẫu thuật cắt bỏ vẫn là phương pháp điều trị chính và tỷ lệ sống còn sau phẫu thuật cao.
,Đối tượng và phương pháp nghiên cứu: Nghiên cứu mô tả cắt ngang trên 24 bệnh nhân được chẩn đoán u tuỵ dạng nhú ở thân và đuôi tuỵ được phẫu thuật tại Bệnh viện Việt Đức từ tháng 1/2016 đến tháng 12/2020.
,"Kết quả: Trong 24 bệnh nhân, 22 (91,7%) là nữ và 2 (8,3%) là nam, tỉ lệ nam / nữ là 1/11."
,"Lý do nhập viện chủ yếu là đau bụng (62,5%)."
,"Thời gian chẩn đoán trung bình là 3,7 tháng."
,"Đau bụng (75,0%), sờ thấy khối u (8,3%)."
,"Đặc điểm cắt lớp vi tính cho thấy u chủ yếu ở thân tuỵ (45,8%), cấu trúc đặc (70,8%) và kích thước trung bình của u là 5,8  2,56 cm (2,3  11,7 cm)."
,Ứng dụng kỹ thuật hút trực tiếp trong điều trị đột quỵ thiếu máu não cấp tại Bệnh viện Chợ Rẫy
,"Đối tượng và phương pháp nghiên cứu: Nghiên cứu mô tả, cắt ngang; đặc điểm lâm sàng và nồng độ dopamine huyết tương ở 72 bệnh nhân tâm thần phân liệt điều trị nội trú tại Khoa Tâm thần  Bệnh viện Quân y 103 từ tháng 8/2020 đến tháng 1/2021."
,"Có 1 hoặc nhiều loại ảo thanh ở bệnh nhân tâm thần phân liệt, chiếm 83,33%, ảo thanh (66,67%), ảo thanh là triệu chứng chuyển đổi (61,67%)."
,"Có 1 hoặc nhiều loại hoang tưởng ở bệnh nhân tâm thần phân liệt chiếm 94,44%, hoang tưởng bị hại (76,47%), hoang tưởng bị giết người (51,47%)."
,"Các triệu chứng thường gặp: mệt mỏi trong công việc và học tập (86,11%), cảm xúc thất vọng (72,22%), quên (81,94%), suy nghĩ chậm, suy nghĩ ngắt quãng (77,78%)."
,"Nồng độ dopamine huyết tương trung bình của bệnh nhân lần 1 là 73,09  40,83 pg / ml, nồng độ dopamine huyết tương trung bình của bệnh nhân lần 2 là 27,91  19,13 pg / ml và nồng độ dopamine huyết tương trung bình của nhóm chứng là 26,55  12,32 pg / ml."
,Sự khác biệt nồng độ dopamine huyết tương giữa test 1 và test 2; giữa test 1 và nhóm chứng có ý nghĩa thống kê; sự khác biệt giữa test 2 và nhóm chứng không có ý nghĩa thống kê.
,Theo dõi lây nhiễm tại các cơ sở y tế khu vực miền Bắc
,"Đột quỵ là nguyên nhân thứ hai gây tử vong trên toàn thế giới, hiện nay có nhiều phương pháp điều trị nội mạch để điều trị đột quỵ thiếu máu não cấp (AIS)."
,"Kết luận: ADAPT sử dụng catheter hút mủ lớn là một phương pháp nhanh, đơn giản, an toàn và hiệu quả trong điều trị hội chứng mạch vành cấp tại bệnh viện Chợ Rẫy."
,"Kỹ thuật chọc hút trực tiếp (ADAPT) đã được đưa vào sử dụng như một phương pháp nhanh chóng, đơn giản để đạt được tái thông tốt và kết quả lâm sàng bằng cách sử dụng catheter hút mủ lớn trong điều trị hội chứng mạch máu lớn."
,Mục tiêu: Đánh giá tính an toàn và hiệu quả của ADAPT trong điều trị hội chứng NMCT cấp do LVO tại bệnh viện Chợ Rẫy.
,Đối tượng và phương pháp nghiên cứu: Nghiên cứu hồi cứu các bệnh nhân được điều trị đột quỵ bằng kỹ thuật ADAPT tại bệnh viện Chợ Rẫy từ tháng 1/2017 đến tháng 1/2021.
,"Hiệu quả và độ an toàn được đánh giá dựa vào các biến số: tỷ lệ tái thông mạch (độ tiêu sợi huyết trong nhồi máu não [TICI]), thời gian tái thông mạch, biến chứng thủ thuật và kết cục lâm sàng (điểm Rankin sửa đổi [mRS]) tại thời điểm 90 ngày theo dõi."
,"Kết quả: Từ tổng quan cơ sở dữ liệu, 140 bệnh nhân AIS được điều trị ADAPT được xác định, điểm NIHSS trung bình lúc nhập viện là 19,1 và cải thiện 8,9 khi ra viện."
,"Thời gian trung bình từ lúc chọc động mạch đến khi tái thông mạch là 34,9 phút."
,"TICI 2 b-3 tái thông mạch máu đạt được ở 116/140 (82,9%) bệnh nhân, kết cục lâm sàng tốt đạt được (mRS 0-2) ở 62/140 (44,3%) bệnh nhân, tỷ lệ tử vong là 24/140 (17,1%) trong thời gian theo dõi."
,Tỷ lệ và các yếu tố nguy cơ của bệnh võng mạc ở trẻ sinh non dưới 32 tuần tuổi thai
,Đánh giá hiệu quả hoạt động của các lò đốt chất thải rắn y tế và đáp ứng các quy định (QCVN 02:2 012 / BTNMT).
,Nhóm nghiên cứu tiến hành quan sát tại 20 lò đốt chất thải rắn y tế thuộc 20 cơ sở y tế tuyến huyện và tuyến tỉnh thuộc 05 tỉnh khu vực phía Bắc.
,"Nội dung theo dõi: Đánh giá việc thực hiện các quy định về bảo vệ môi trường và tổ chức quản lý chất thải y tế; Khảo sát, lấy mẫu và theo dõi sự ô nhiễm chất thải rắn y tế tại một số cơ sở y tế sử dụng chất thải rắn y tế."
,Kết quả cho thấy: Tất cả các đơn vị đều tổ chức quản lý chất thải y tế và thực hiện quản lý chất thải y tế.
,"Tuy nhiên, một số cơ sở y tế khảo sát không thực hiện đúng quy định về thu gom và lưu trữ chất thải y tế (14-42%), không quan sát được sự rò rỉ khí thải theo quy định (17,6%)."
,"Một số chỉ số trong khí thải không đạt các giá trị giới hạn cho phép: bụi (33,3%), CO (94,4%), SO2 (61%)."
,"Các tác giả cũng đưa ra một số khuyến nghị, nhằm giảm thiểu tác động đến môi trường và sức khoẻ của nhân viên làm việc tại các khoa trên."
,Đánh giá lý thuyết quản lý triệu chứng: ảnh hưởng đến thực hành điều dưỡng
,"Đánh giá tỷ lệ bệnh lý võng mạc ở trẻ sinh non và tìm hiểu mối liên quan với một số đặc điểm dịch tễ, lâm sàng ở trẻ sinh non dưới 32 tuần tuổi thai."
